Cooperator,Project Title,Activity/Measurement,Date (yyyy-mm-dd),Notes
Marissa Waldo,Can We Reduce N and Improve ROI?,Field history -- 2017-2021,,"2017: soybeans, no-till; 2018: corn, no-till, rye crop seeded in fall; 2019: rye crop, millet+sorghum-sudan+oat cover crop mix after rye cut and baled; 2020: corn in 60-in. rows with grass+legume mix interseeded V5; 2021: soybeans, no-till, rye cover crop in fall"
Marissa Waldo,Can We Reduce N and Improve ROI?,Previous crop,,soybeans in 2021
Marissa Waldo,Can We Reduce N and Improve ROI?,No. reps,,
Marissa Waldo,Can We Reduce N and Improve ROI?,Strip size,,20 ft wide x length of field
Marissa Waldo,Can We Reduce N and Improve ROI?,Treatments,,Trt 1 Typical rate: 264 lb N/ac ;Trt 2 Reduced rate: 190 lb N/ac
Marissa Waldo,Can We Reduce N and Improve ROI?,Cover crop -- seeding,,cereal rye seeded fall 2021
Marissa Waldo,Can We Reduce N and Improve ROI?,Cover crop -- termination,5/20/2022,"2 lbs AMS, 44 oz Roundup Powermax"
Marissa Waldo,Can We Reduce N and Improve ROI?,Fall Grazing -- begin,,
Marissa Waldo,Can We Reduce N and Improve ROI?,Fall Grazing -- end,,
Marissa Waldo,Can We Reduce N and Improve ROI?,Spring Grazing -- begin,,
Marissa Waldo,Can We Reduce N and Improve ROI?,Spring Grazing -- end,,
Marissa Waldo,Can We Reduce N and Improve ROI?,Corn planting,5/14/2022,"34,000 population, 60"" rows"
Marissa Waldo,Can We Reduce N and Improve ROI?,Tillage,5/13/2022,"Light field cultivation pass to level out ridges in field from previous 60"" corn crop"
Marissa Waldo,Can We Reduce N and Improve ROI?,Fertilizer,5/7/2022,"Both trts: 3500 gallons/acre of liquid hog manure injected early May. Analysis revealed 54.3 lb N/1,000 gal. Total units N applied = 190 lb N/ac"
Marissa Waldo,Can We Reduce N and Improve ROI?,Fertilizer,7/7/2022,Trt 1: 32% UAN 22 gallons sidedressed amounts to 74 lb N/ac
Marissa Waldo,Can We Reduce N and Improve ROI?,Weed control,6/21/2022,"2 lbs AMS, 44 oz Roundup Powermax, 2 oz Status"
Marissa Waldo,Can We Reduce N and Improve ROI?,Weed control,,
Marissa Waldo,Can We Reduce N and Improve ROI?,Pest control,,
Marissa Waldo,Can We Reduce N and Improve ROI?,Soil sampling,,
Marissa Waldo,Can We Reduce N and Improve ROI?,Corn harvest,10/25/2022,
Marissa Waldo,Can We Reduce N and Improve ROI?,Observation,1/9/2023,"That's pretty great news that the yields were that close and there was no statistically significant difference! Certainly doesn't make sense to be sidedressing on top of manure application with those results, and we'll be changing our program next year based on what we've found this year"
