lon,lat,city,doy,mm,dd,name,value,wea_type
-96.434065,43.453875,larchwood,1,1,1,t_lt,14.361463414634146,air temperature deg F
-96.434065,43.453875,larchwood,1,1,1,t_23,22.53,air temperature deg F
-96.434065,43.453875,larchwood,2,1,2,t_lt,16.33219512195122,air temperature deg F
-96.434065,43.453875,larchwood,2,1,2,t_23,23.02,air temperature deg F
-96.434065,43.453875,larchwood,3,1,3,t_lt,17.45658536585366,air temperature deg F
-96.434065,43.453875,larchwood,3,1,3,t_23,17.13,air temperature deg F
-96.434065,43.453875,larchwood,4,1,4,t_lt,16.159756097560976,air temperature deg F
-96.434065,43.453875,larchwood,4,1,4,t_23,19.2,air temperature deg F
-96.434065,43.453875,larchwood,5,1,5,t_lt,16.492926829268292,air temperature deg F
-96.434065,43.453875,larchwood,5,1,5,t_23,13.77,air temperature deg F
-96.434065,43.453875,larchwood,6,1,6,t_lt,15.534634146341464,air temperature deg F
-96.434065,43.453875,larchwood,6,1,6,t_23,10.92,air temperature deg F
-96.434065,43.453875,larchwood,7,1,7,t_lt,15.460731707317073,air temperature deg F
-96.434065,43.453875,larchwood,7,1,7,t_23,6.94,air temperature deg F
-96.434065,43.453875,larchwood,8,1,8,t_lt,16.90341463414634,air temperature deg F
-96.434065,43.453875,larchwood,8,1,8,t_23,16.14,air temperature deg F
-96.434065,43.453875,larchwood,9,1,9,t_lt,16.81560975609756,air temperature deg F
-96.434065,43.453875,larchwood,9,1,9,t_23,23.81,air temperature deg F
-96.434065,43.453875,larchwood,10,1,10,t_lt,17.15439024390244,air temperature deg F
-96.434065,43.453875,larchwood,10,1,10,t_23,22.55,air temperature deg F
-96.434065,43.453875,larchwood,11,1,11,t_lt,18.071463414634145,air temperature deg F
-96.434065,43.453875,larchwood,11,1,11,t_23,25.39,air temperature deg F
-96.434065,43.453875,larchwood,12,1,12,t_lt,16.336341463414634,air temperature deg F
-96.434065,43.453875,larchwood,12,1,12,t_23,17.04,air temperature deg F
-96.434065,43.453875,larchwood,13,1,13,t_lt,16.31780487804878,air temperature deg F
-96.434065,43.453875,larchwood,13,1,13,t_23,8.83,air temperature deg F
-96.434065,43.453875,larchwood,14,1,14,t_lt,17.30951219512195,air temperature deg F
-96.434065,43.453875,larchwood,14,1,14,t_23,23.7,air temperature deg F
-96.434065,43.453875,larchwood,15,1,15,t_lt,15.668048780487805,air temperature deg F
-96.434065,43.453875,larchwood,15,1,15,t_23,31.57,air temperature deg F
-96.434065,43.453875,larchwood,16,1,16,t_lt,17.544878048780486,air temperature deg F
-96.434065,43.453875,larchwood,16,1,16,t_23,32.41,air temperature deg F
-96.434065,43.453875,larchwood,17,1,17,t_lt,16.612926829268293,air temperature deg F
-96.434065,43.453875,larchwood,17,1,17,t_23,21.63,air temperature deg F
-96.434065,43.453875,larchwood,18,1,18,t_lt,15.609756097560975,air temperature deg F
-96.434065,43.453875,larchwood,18,1,18,t_23,20.23,air temperature deg F
-96.434065,43.453875,larchwood,19,1,19,t_lt,15.560975609756097,air temperature deg F
-96.434065,43.453875,larchwood,19,1,19,t_23,22.69,air temperature deg F
-96.434065,43.453875,larchwood,20,1,20,t_lt,15.254146341463414,air temperature deg F
-96.434065,43.453875,larchwood,20,1,20,t_23,16.16,air temperature deg F
-96.434065,43.453875,larchwood,21,1,21,t_lt,17.685853658536587,air temperature deg F
-96.434065,43.453875,larchwood,21,1,21,t_23,19.42,air temperature deg F
-96.434065,43.453875,larchwood,22,1,22,t_lt,18.05170731707317,air temperature deg F
-96.434065,43.453875,larchwood,22,1,22,t_23,16.23,air temperature deg F
-96.434065,43.453875,larchwood,23,1,23,t_lt,17.459756097560977,air temperature deg F
-96.434065,43.453875,larchwood,23,1,23,t_23,18.19,air temperature deg F
-96.434065,43.453875,larchwood,24,1,24,t_lt,18.1690243902439,air temperature deg F
-96.434065,43.453875,larchwood,24,1,24,t_23,21.22,air temperature deg F
-96.434065,43.453875,larchwood,25,1,25,t_lt,15.97170731707317,air temperature deg F
-96.434065,43.453875,larchwood,25,1,25,t_23,13.64,air temperature deg F
-96.434065,43.453875,larchwood,26,1,26,t_lt,17.391463414634146,air temperature deg F
-96.434065,43.453875,larchwood,26,1,26,t_23,10.22,air temperature deg F
-96.434065,43.453875,larchwood,27,1,27,t_lt,18.458780487804876,air temperature deg F
-96.434065,43.453875,larchwood,27,1,27,t_23,21.61,air temperature deg F
-96.434065,43.453875,larchwood,28,1,28,t_lt,18.779512195121953,air temperature deg F
-96.434065,43.453875,larchwood,28,1,28,t_23,3.6,air temperature deg F
-96.434065,43.453875,larchwood,29,1,29,t_lt,17.48829268292683,air temperature deg F
-96.434065,43.453875,larchwood,29,1,29,t_23,-2.11,air temperature deg F
-96.434065,43.453875,larchwood,30,1,30,t_lt,16.934634146341462,air temperature deg F
-96.434065,43.453875,larchwood,30,1,30,t_23,-4.07,air temperature deg F
-96.434065,43.453875,larchwood,31,1,31,t_lt,19.360487804878048,air temperature deg F
-96.434065,43.453875,larchwood,31,1,31,t_23,-1.8,air temperature deg F
-96.434065,43.453875,larchwood,32,2,1,t_lt,17.451707317073172,air temperature deg F
-96.434065,43.453875,larchwood,32,2,1,t_23,6.84,air temperature deg F
-96.434065,43.453875,larchwood,33,2,2,t_lt,17.543170731707317,air temperature deg F
-96.434065,43.453875,larchwood,33,2,2,t_23,3.67,air temperature deg F
-96.434065,43.453875,larchwood,34,2,3,t_lt,17.399756097560974,air temperature deg F
-96.434065,43.453875,larchwood,34,2,3,t_23,1.67,air temperature deg F
-96.434065,43.453875,larchwood,35,2,4,t_lt,16.811951219512196,air temperature deg F
-96.434065,43.453875,larchwood,35,2,4,t_23,19.26,air temperature deg F
-96.434065,43.453875,larchwood,36,2,5,t_lt,18.807317073170733,air temperature deg F
-96.434065,43.453875,larchwood,36,2,5,t_23,25.68,air temperature deg F
-96.434065,43.453875,larchwood,37,2,6,t_lt,19.548292682926828,air temperature deg F
-96.434065,43.453875,larchwood,37,2,6,t_23,29.53,air temperature deg F
-96.434065,43.453875,larchwood,38,2,7,t_lt,18.644634146341463,air temperature deg F
-96.434065,43.453875,larchwood,38,2,7,t_23,24.69,air temperature deg F
-96.434065,43.453875,larchwood,39,2,8,t_lt,18.07121951219512,air temperature deg F
-96.434065,43.453875,larchwood,39,2,8,t_23,25.84,air temperature deg F
-96.434065,43.453875,larchwood,40,2,9,t_lt,19.381219512195123,air temperature deg F
-96.434065,43.453875,larchwood,40,2,9,t_23,22.48,air temperature deg F
-96.434065,43.453875,larchwood,41,2,10,t_lt,18.76292682926829,air temperature deg F
-96.434065,43.453875,larchwood,41,2,10,t_23,15.51,air temperature deg F
-96.434065,43.453875,larchwood,42,2,11,t_lt,18.477560975609755,air temperature deg F
-96.434065,43.453875,larchwood,42,2,11,t_23,24.48,air temperature deg F
-96.434065,43.453875,larchwood,43,2,12,t_lt,18.766585365853658,air temperature deg F
-96.434065,43.453875,larchwood,43,2,12,t_23,25.16,air temperature deg F
-96.434065,43.453875,larchwood,44,2,13,t_lt,21.22658536585366,air temperature deg F
-96.434065,43.453875,larchwood,44,2,13,t_23,28.69,air temperature deg F
-96.434065,43.453875,larchwood,45,2,14,t_lt,20.412926829268294,air temperature deg F
-96.434065,43.453875,larchwood,45,2,14,t_23,33.96,air temperature deg F
-96.434065,43.453875,larchwood,46,2,15,t_lt,19.81,air temperature deg F
-96.434065,43.453875,larchwood,46,2,15,t_23,17.17,air temperature deg F
-96.434065,43.453875,larchwood,47,2,16,t_lt,21.98707317073171,air temperature deg F
-96.434065,43.453875,larchwood,47,2,16,t_23,13.35,air temperature deg F
-96.434065,43.453875,larchwood,48,2,17,t_lt,23.558048780487805,air temperature deg F
-96.434065,43.453875,larchwood,48,2,17,t_23,16.97,air temperature deg F
-96.434065,43.453875,larchwood,49,2,18,t_lt,24.26170731707317,air temperature deg F
-96.434065,43.453875,larchwood,49,2,18,t_23,26.42,air temperature deg F
-96.434065,43.453875,larchwood,50,2,19,t_lt,24.329756097560974,air temperature deg F
-96.434065,43.453875,larchwood,50,2,19,t_23,26.82,air temperature deg F
-96.434065,43.453875,larchwood,51,2,20,t_lt,25.240243902439023,air temperature deg F
-96.434065,43.453875,larchwood,51,2,20,t_23,28.8,air temperature deg F
-96.434065,43.453875,larchwood,52,2,21,t_lt,24.870731707317074,air temperature deg F
-96.434065,43.453875,larchwood,52,2,21,t_23,16.32,air temperature deg F
-96.434065,43.453875,larchwood,53,2,22,t_lt,25.279024390243904,air temperature deg F
-96.434065,43.453875,larchwood,53,2,22,t_23,15.17,air temperature deg F
-96.434065,43.453875,larchwood,54,2,23,t_lt,24.59219512195122,air temperature deg F
-96.434065,43.453875,larchwood,54,2,23,t_23,8.69,air temperature deg F
-96.434065,43.453875,larchwood,55,2,24,t_lt,23.927804878048782,air temperature deg F
-96.434065,43.453875,larchwood,55,2,24,t_23,5.79,air temperature deg F
-96.434065,43.453875,larchwood,56,2,25,t_lt,24.253170731707318,air temperature deg F
-96.434065,43.453875,larchwood,56,2,25,t_23,18.68,air temperature deg F
-96.434065,43.453875,larchwood,57,2,26,t_lt,24.959512195121953,air temperature deg F
-96.434065,43.453875,larchwood,57,2,26,t_23,32.25,air temperature deg F
-96.434065,43.453875,larchwood,58,2,27,t_lt,25.082439024390244,air temperature deg F
-96.434065,43.453875,larchwood,58,2,27,t_23,35.33,air temperature deg F
-96.434065,43.453875,larchwood,59,2,28,t_lt,26.983170731707318,air temperature deg F
-96.434065,43.453875,larchwood,59,2,28,t_23,31.35,air temperature deg F
-96.434065,43.453875,larchwood,60,3,1,t_lt,27.15560975609756,air temperature deg F
-96.434065,43.453875,larchwood,60,3,1,t_23,29.12,air temperature deg F
-96.434065,43.453875,larchwood,61,3,2,t_lt,26.24219512195122,air temperature deg F
-96.434065,43.453875,larchwood,61,3,2,t_23,27.05,air temperature deg F
-96.434065,43.453875,larchwood,62,3,3,t_lt,27.003414634146342,air temperature deg F
-96.434065,43.453875,larchwood,62,3,3,t_23,32.27,air temperature deg F
-96.434065,43.453875,larchwood,63,3,4,t_lt,28.58048780487805,air temperature deg F
-96.434065,43.453875,larchwood,63,3,4,t_23,34.54,air temperature deg F
-96.434065,43.453875,larchwood,64,3,5,t_lt,29.536341463414633,air temperature deg F
-96.434065,43.453875,larchwood,64,3,5,t_23,32.41,air temperature deg F
-96.434065,43.453875,larchwood,65,3,6,t_lt,29.73829268292683,air temperature deg F
-96.434065,43.453875,larchwood,65,3,6,t_23,32.04,air temperature deg F
-96.434065,43.453875,larchwood,66,3,7,t_lt,29.021951219512196,air temperature deg F
-96.434065,43.453875,larchwood,66,3,7,t_23,30.09,air temperature deg F
-96.434065,43.453875,larchwood,67,3,8,t_lt,29.884390243902438,air temperature deg F
-96.434065,43.453875,larchwood,67,3,8,t_23,33.03,air temperature deg F
-96.434065,43.453875,larchwood,68,3,9,t_lt,30.605853658536585,air temperature deg F
-96.434065,43.453875,larchwood,68,3,9,t_23,30.54,air temperature deg F
-96.434065,43.453875,larchwood,69,3,10,t_lt,29.249268292682927,air temperature deg F
-96.434065,43.453875,larchwood,69,3,10,t_23,30.54,air temperature deg F
-96.434065,43.453875,larchwood,70,3,11,t_lt,30.907073170731707,air temperature deg F
-96.434065,43.453875,larchwood,70,3,11,t_23,30.29,air temperature deg F
-96.434065,43.453875,larchwood,71,3,12,t_lt,32.24926829268293,air temperature deg F
-96.434065,43.453875,larchwood,71,3,12,t_23,25.97,air temperature deg F
-96.434065,43.453875,larchwood,72,3,13,t_lt,33.61121951219512,air temperature deg F
-96.434065,43.453875,larchwood,72,3,13,t_23,24.69,air temperature deg F
-96.434065,43.453875,larchwood,73,3,14,t_lt,34.423658536585364,air temperature deg F
-96.434065,43.453875,larchwood,73,3,14,t_23,28.54,air temperature deg F
-96.434065,43.453875,larchwood,74,3,15,t_lt,34.90073170731707,air temperature deg F
-96.434065,43.453875,larchwood,74,3,15,t_23,40.35,air temperature deg F
-96.434065,43.453875,larchwood,75,3,16,t_lt,34.65,air temperature deg F
-96.434065,43.453875,larchwood,75,3,16,t_23,30.25,air temperature deg F
-96.434065,43.453875,larchwood,76,3,17,t_lt,34.41487804878049,air temperature deg F
-96.434065,43.453875,larchwood,76,3,17,t_23,17.85,air temperature deg F
